id,code,name,menudeo,mayoreo,empaque,stock
127,LAC-010,LPZ COLORES PELIKAN TRIANG C/12 MINA 2.9MM,45.2,39.8,37.6,30
128,LAC-011,LPZ COLORES PELIKAN TRIANG SUPER SUAVES C/12,39,36,34,0
129,LAC-048,BATA DE ARTE PELIKAN,71.5,67.1,62.7,0
130,LAC-050,LPZ COLORES PELIKAN TRIANG C/24 MINA 2.9MM,90.5,79.8,75.4,41
131,LAC-055,"LPZ COLORES PELIKAN PASTEL C/12 LARGOS (3,3 MM)",72.8,64.3,60.7,40
132,LAC-057,LPZ COLORES PELIKAN TRIANG JUMBO C/18,187.3,165.3,156.1,11
133,LAC-059,LPZ COLORES METALICOS C/12 LARGOS ( 2.9MM ),75.8,66.9,63.2,58
134,LGR-001,LPZ BICOLOR PELIKAN JUMBO C/10 ROJO/AZUL,71.3,62.9,59.4,73
135,LGR-002,LPZ BICOLOR PELIKAN DELGADO C/10 ROJO/AZUL,48.3,42.6,40.3,31
136,LGR-003,LPZ CHECADOR PELIKAN C/10 ROJO CARMIN,53.7,47.4,44.7,46
137,LGR-004,LPZ CHECADOR PELIKAN C/10 AZUL,45,42,40,0
138,LGR-005,LPZ DE ESCRT MED #2 HB PELIKAN C/100,237,238,235,0
139,LGR-006,LPZ DE ESCRT MED #2 HB PELIKAN TRIANG C/12,45.2,39.8,37.6,24
140,LGR-007,LPZ ESCRT FIRME 2 1/2 /F PELIKAN C/100,237,238,235,0
141,LGR-008,LPZ ESCRT FIRME 2 1/2 /F PELIKAN C/12,41.6,36.7,34.7,0
142,LGR-009,LPZ TRIANG DUPLY PELIKAN C/10 GRAFITO/ROJO,64.7,57,53.9,28
143,LGR-010,LPZ TRIG INICIAL PELIKAN JUMBO #2 HB C/10,123.3,108.8,102.8,41
144,LGR-011,LPZ ESCRT DE RESINA VERDE PELIKAN C/10,37,34,32,0
145,LGR-068,PLUMON MARKANA PINCEL C/12 PZS,174.8,154.3,145.7,51
146,LGR-069,COLORELLA C/10 MARCADOR PELIKAN VERDE,111.6,98.4,93,0
147,LGR-070,COLORELLA C/10 MARCADOR PELIKAN ROJO,117.1,103.3,97.6,0
148,LGR-071,COLORELLA C/10 MARCADOR PELIKAN AZUL,117.1,103.3,97.6,0
149,LGR-072,COLORELLA C/10 MARCADOR PELIKAN NEGRO,117.1,103.3,97.6,0
150,LGR-078,ESTUCHE MARKANA TWIST TRIANGULAR C/12,51.4,45.4,42.8,0
151,LGR-086,PROMO LAPIZ DE ESCRITURA MEDIANO Y BICOLOR JUMBO,237,238,235,0
152,LGR-087,SACAPUNTAS PLASTICO 101 S/DEP 1 ORIF  C/30,144.1,127.2,120.1,36
153,LGR-096,COLORELLA C/10 MARCADOR PELIKAN VIOLETA,111.6,98.4,93,0
154,LGR-097,COLORELLA C/10 MARCADOR PELIKAN NARANJA,111.6,98.4,93,7
155,LGR-098,COLORELLA C/10 MARCADOR PELIKAN AMARILLO,111.6,98.4,93,0
156,LGR-099,COLORELLA C/10 MARCADOR PELIKAN AZUL CLARO,111.6,98.4,93,14
157,LGR-100,COLORELLA C/10 MARCADOR PELIKAN MAGENTA,111.6,98.4,93,36
158,LGR-101,COLORELLA C/10 MARCADOR PELIKAN ROSA,111.6,98.4,93,0
159,LGR-102,COLORELLA C/10 MARCADOR PELIKAN CAFE,111.6,98.4,93,0
160,LGR-103,COLORELLA C/10 MARCADOR PELIKAN VERDE CLARO,111.6,98.4,93,36
161,LGR-104,BOLSA MARKANA TWIST  ET C/12 +2,42.6,36.5,34.5,31
162,LGR-127,LPZ DE ESC 2HB TRIANG JUMBO DISEÑO C/10,136.3,120.2,113.6,0
163,LGR-130,LPZ ESCRT #2HB TRIANG SILVERSTAR PELIKAN C/50,171.4,151.2,142.8,25
164,LGR-132,PLUMON MARKANA PINCEL PASTEL C/12 PZS,185.6,163.8,154.7,52
165,LGR-148,BOLSA MARKANA TWIST GLITTER  ET C/12,31.3,27.6,26.1,0
166,LGR-168,BOLSA MARKANA TWIST  ET C/12,40,35.5,33.5,0
167,MAM-001,MASA MOLDEABLE MAGIMASA C/4 COL. SURT,72.4,63.9,60.4,9
168,MAM-002,MASA MOLDEABLE BOTE 120 GR AM,19.5,17.2,16.3,0
169,MAM-003,MASA MOLDEABLE BOTE 120 GR AZ,19.5,17.2,16.3,0
170,MAM-004,MASA MOLDEABLE BOTE 120 GR RJ,19.5,17.2,16.3,0
171,MAM-005,MASA MOLDEABLE BOTE 120 GR VD,19.5,17.2,16.3,0
172,MAM-006,MASA MOLDEABLE BOTE 120 GR NJ,19.5,17.2,16.3,0
173,MAM-007,MASA MOLDEABLE BOTE 120 GR MORADO,19.5,17.2,16.3,0
174,MAM-008,MASA MOLDEABLE BOTE 120 GR RS PASTEL,19.5,17.2,16.3,0
175,MAM-009,MASA MOLDEABLE BOTE 120 GR BCO,19.5,17.2,16.3,0
176,MAM-010,MASA MOLDEABLE BOTE 120 GR AM NEON,19.5,17.2,16.3,0
177,MAM-011,MASA MOLDEABLE BOTE 120 GR CF,19.5,17.2,16.3,0
178,MAM-012,MASA MOLDEABLE BOTE 120 GR NGO,19.5,17.2,16.3,0
179,MAM-013,MASA MOLDEABLE BOTE 120 GR VD CLARO,19.5,17.2,16.3,0
180,MAM-014,MASA MOLDEABLE BOTE 120 GR AZ CLARO,19.5,17.2,16.3,0
181,MAM-015,MASA MOLDEABLE BOTE 120 GR VD NEON,19.5,17.2,16.3,0
182,MAM-017,MASA MOLDEABLE MAGIMASA C/6 SURTIDO,94,90.4,86.7,0
183,MCE-001,MARCADOR DE CERA PELIKAN C/10 AM,95.9,84.6,79.9,35
184,MCE-002,MARCADOR DE CERA PELIKAN C/10 AZ,95.9,84.6,79.9,61
185,MCE-003,MARCADOR DE CERA PELIKAN C/10 BCO,95.9,84.6,79.9,46
186,MCE-004,MARCADOR DE CERA PELIKAN C/10 NG,95.9,84.6,79.9,50
187,MCE-005,MARCADOR DE CERA PELIKAN C/10 RJ,95.9,84.6,79.9,66
188,MCE-006,MARCADOR DE CERA PELIKAN C/10 VD,95.9,84.6,79.9,53
189,MPE-001,PERMANENT 440 TRIANGULAR  C/10 AZ,124.8,110.1,104,39
190,MPE-002,PERMANENT 440 TRIANGULAR  C/10 NG,124.8,110.1,104,0
191,MPE-003,PERMANENT 440 TRIANGULAR  C/10 RJ,124.8,110.1,104,3
192,MPE-004,PERMANENT 440 TRIANGULAR  C/10 VD,124.8,110.1,104,0
193,MPE-005,PERMANENT 540 METALICO C/10 RJ,255.7,225.6,213.1,8
194,MPE-006,PERMANENT 540 METALICO C/10 AZ,255.7,225.6,213.1,64
195,MPE-007,PERMANENT 540 METALICO C/10 NG,255.7,225.6,213.1,0
196,MPI-001,FLASH MARKER 742 C/4 COL.,75.3,66.5,62.8,0
197,MPI-002,FLASH MARKER 742 C/10 AZ,182.9,161.4,152.4,9
198,MPI-003,FLASH MARKER 742 C/10 NG,182.9,161.4,152.4,31
199,MPI-004,FLASH MARKER 742 C/10 RJ,182.9,161.4,152.4,9
200,MPI-005,FLASH MARKER 742 C/10 VDE,174.3,153.8,145.2,0
201,MTE-001,MARCATEXTOS 414 AM C/10,115.5,101.9,96.3,0
202,MTE-002,MARCATEXTOS 414 AZ C/10,115.5,101.9,96.3,0
203,MTE-003,MARCATEXTOS 414 NJ C/10,115.5,101.9,96.3,0
204,MTE-004,MARCATEXTOS 414 RS C/10,115.5,101.9,96.3,0
205,MTE-005,MARCATEXTOS 414 VD C/10,115.5,101.9,96.3,0
206,MTE-006,MARCATEXTOS 414 TRIANG AM C/10,57.9,51.1,48.3,56
207,MTE-007,MARCATEXTOS 414 TRIANG AZ C/10,57.9,51.1,48.3,73
208,MTE-008,MARCATEXTOS 414 TRIANG NJ C/10,57.9,51.1,48.3,65
209,MTE-009,MARCATEXTOS 414 TRIANG RS C/10,57.9,51.1,48.3,58
210,MTE-010,MARCATEXTOS 414 TRIANG VD C/10,57.9,51.1,48.3,44
211,MTE-020,NEON MARKER PELIKAN AMARILLO,106.3,93.8,88.6,0
212,MTE-021,NEON MARKER PELIKAN NARANJA C/10,106.3,93.8,88.6,0
213,MTE-022,NEON MARKER PELIKAN VERDE C/10,106.3,93.8,88.6,0
214,MTE-023,NEON MARKER PELIKAN AZUL C/10,106.3,93.8,88.6,0
215,MTE-024,NEON MARKER PELIKAN ROSA C/10,106.3,93.8,88.6,0
216,MTE-035,TEXTMARKER FLASH PASTEL ESTUCHE C/10 PZ,180.7,159.4,150.5,21
217,NOA-001,PELINOTAS 3 X 3 AM BLOCK 100 H C/U 76X,14.5,10.9,9.6,0
218,NOA-002,PELINOTAS 3 X 4 AM BLOCK 100 H C/U 101X76,18,15.6,14.5,0
219,NOA-003,PELINOTAS 3 X 5 AM BLOCK 100 H C/U 76.2X127,19.2,16.8,14.5,0
220,PCB-001,P. CARBON 1010 CTA.,99.3,87.6,82.7,447
221,PCB-002,P. CARBON 1010 OF.,104.9,92.5,87.4,11
222,PCO-001,ESTUCHE COLORELLA C/12,140.4,123.9,117,0
223,PCO-002,COLORELLA TRIANG RS C/10,53.3,49.9,46.5,0
224,PCO-003,COLORELLA TRIANG RJ C/10,53.3,49.9,46.5,0
225,PCO-004,COLORELLA TRIANG NJ C/10,53.3,49.9,46.5,0
226,PCO-005,COLORELLA TRIANG AM C/10,53.3,49.9,46.5,0
227,PCO-006,COLORELLA TRIANG MG C/10,53.3,49.9,46.5,3
228,PCO-007,COLORELLA TRIANG VD OBS C/10,53.3,49.9,46.5,0
229,PCO-008,COLORELLA TRIANG AZ OBS C/10,53.3,49.9,46.5,0
230,PCO-009,COLORELLA TRIANG VTA C/10,53.3,49.9,46.5,0
231,PCO-010,COLORELLA TRIANG CF CL C/10,53.3,49.9,46.5,2
232,PCO-011,COLORELLA TRIANG NG C/10,53.3,49.9,46.5,0
233,PCO-012,COLORELLA TRIANG VD CL C/10,53.3,49.9,46.5,0
234,PCO-013,COLORELLA TRIANG AZ CL C/10,53.3,49.9,46.5,0
235,PCO-041,ESTUCHE COLORELLA C/12 + 2,133.8,118.1,111.5,0
236,PCO-042,COLORELLA MÁGICO ET C/12,128.6,113.5,107.2,0
237,PCO-044,ESTUCHE MARKATODO METALICO C/8,136.3,120.2,113.6,22
238,PCO-045,COLORELLA PASTEL P. GRUESA EST C/6,65.7,58,54.8,10
239,PEC-001,PERFORADORA PELIKAN DE 1 ORIFICIO MANGO PLAST TJ C,42.5,37.5,35.4,158
240,PEL-001,ACUARELA ESCOLAR C/12,32,28.2,26.7,75
241,PEL-002,ACUARELA INFANTIL C/12+2,13.6,12,11.3,150
242,PEL-003,ACUARELA INFANTIL C/6,12.1,10.6,10.1,89
243,PEL-004,ACUARELA JUNIOR C/12,61.6,54.3,51.3,74
244,PEL-005,ACUARELA MASTER C/12,93.1,82.2,77.6,36
245,PEL-006,ACUARELA INFANTIL C/6 PASTEL,18.6,16.4,15.5,9
246,PEL-007,ACUARELA INFANTIL C/12,13.6,12,11.3,135
247,PEL-008,ACUARELA JUNIOR PASTEL C/12,63.3,55.9,52.8,64
248,PEL-009,LPZ ADHE PELIFIX 10 GR PAQ C/12,54.6,48.1,45.5,40
249,PEL-010,LPZ ADHE PELIFIX 20 GR POLIBAG C/4,63,58,52,0
250,PEL-011,LPZ ADHE PELIFIX 40 GR PAQ C/12,295,260.3,245.9,3
251,PEL-012,LPZ ADHE PELIFIX 20 GR PAQ C/24,326.7,288.3,272.3,0
252,PEL-013,PROMOCION ACUARELA MASTER PELIKAN + TEMPERA,177.3,156.4,147.8,0
253,PEL-014,PELICRAYON JUMBO TRIAN  C/24,79.2,69.9,66,22
254,PEL-016,PELICRAYON REGULAR TRIAN C/12,21.2,18.7,17.7,104
255,PEL-017,MARCATEXTOS 414 PASTEL C/10 SURTIDO,115.5,101.9,96.3,51
256,PEL-018,MARCATEXTOS 714 AMARILLO C/10,46.9,46.9,42.5,0
257,PEL-019,MARCATEXTOS 414 PASTEL BLISTER  C/4 SURTIDO,42.8,40.4,36.8,0
258,PEL-020,LPZ DE GRAFITO PELIKAN  2HB POLYBAG C/12,33,35,27,0
259,PEL-021,MARKADATA PELIKAN DETECTOR DE   BILLETES  1PZ,24.3,21.4,20.2,0
260,PEL-022,ACUARELA INFANTIL UNIVERSO C/6,20.9,18.4,17.4,82
261,PEL-023,COLORELLA TEXTIL ET C/12,176.3,155.6,146.9,0
262,PEL-024,LPZ COLORES PELIKAN C/48 (4MM) LARGOS,282.6,249.3,235.5,15
263,PEL-025,SET MARCADORES PERMANENTES 240 C/36 PZS,394.4,348,328.7,5
264,PEL-026,LPZ DE ESC #2HB HEX BARRIL C/60,186.8,164.9,155.7,3
265,PEL-027,LPZ DE ESC #2HB TRIANGULAR BARRIL C/60,189,166.8,157.5,40
266,PEL-028,COLORELLA STAR C/24 COL SURT,80,68,64.5,115
267,PEL-029,COLORELLA STAR C/30 COL SURT,99.8,88,83.1,1
268,PEL-030,MARCATEXTOS METALICO C/6 SURTIDO,123.3,108.8,102.8,12
269,PEL-031,TEXTMARKER FLASH C/16 COL SURT,232.9,205.5,194.1,2
270,PEL-032,MARCADORES PARA VIDRIO C/8  PZS,198.7,175.3,165.5,17
271,PEL-033,PERMANENT MARKER 710 NG,170.5,150.5,142.1,15
272,PEL-034,PERMANENT MARKER 710 AZ,170.5,150.5,142.1,9
273,PEL-035,PERMANENT MARKER 710 RJ,170.5,150.5,142.1,8
274,PEL-036,PERMANENT MARKER 710 VD,170.5,150.5,142.1,8
275,PEL-037,TEMPERA PARA CARTEL METALICA C/6 20ML,57.4,50.6,47.8,18
276,PEL-038,TEMPERA PARA CARTEL PASTEL C/6 20ML,54.7,48.3,45.6,32
277,PEL-039,SET TEMPERA PARA CARTEL COLOR BOOM,231.2,204,192.7,6
278,PEL-040,COLORELLA STAR C/6 COL. NEON,21,18.6,17.5,86
279,PEL-041,COLORELLA STAR C/6 COL. PASTEL,20,17.6,16.6,27
280,PEL-042,CERA D2 C/12 COLORES,153.3,135.3,127.8,0
281,PEL-043,BORRADOR DE MADERA PARA PIZARRON,14.7,13,12.3,67
282,PEL-044,PERMANENT 540 METALICO C/10 VD,255.7,225.6,213.1,0
283,PEL-045,COLORELLA STAR C/50 COL SURT,166.3,146.7,138.6,0
284,PEL-046,TJ LPZ ADHE PELIFIX 10 GR C/2,10.6,9.3,8.8,127
285,PEL-047,TJ LPZ ADHE PELIFIX 20 GR C/2,17.9,15.8,14.9,0
286,PEL-048,BARRA DE SILICON DELGADO  PELIKAN 1KG ,127.8,112.8,106.5,76
287,PEL-049,ACUARELA JUNIOR MIX C/12,61.6,54.3,51.3,44
288,PEL-050,GOMA PETS BARRIL C/20,181,157,147.5,1
289,PEL-051,BOL HANG STICK FANCY C/10 COL SURT P/MED,30.5,26.9,25.4,115
290,PEL-052,BOL HANG STICK FANCY C/10 COL SURT P/FINO ,30.5,26.9,25.4,169
291,PEL-053,PLUMIN PELIKAN COLORELLA STAR C/12,40,35.5,33.5,1
292,PEL-054,GOMA PELIKAN SQUEEZY SPORTS C/16,175.4,154.8,146.4,23
293,PIN-015,PINTURA DIGITAL 150ML VERDE PASTEL,28.4,25,23.6,0
294,PIN-016,PINTURA DIGITAL 150ML AMARILLO  PASTEL,28.4,25,23.6,0
295,PIN-017,PINTURA DIGITAL 150ML VIOLETA PASTEL,29.7,26.2,24.7,0
296,PIN-018,PINTURA DIGITAL 150ML ROSA PASTEL,29.7,26.2,24.7,0
297,PIN-019,PINTURA DIGITAL 150ML ROJO METAL,28.4,25,23.6,0
298,PIN-020,PINTURA DIGITAL 150ML VIOLETA METAL,28.4,25,23.6,0
299,PIN-021,PINTURA DIGITAL 150ML AZUL METAL,28.4,25,23.6,0
300,PIN-022,PINTURA DIGITAL 150ML VERDE METAL,28.4,25,23.6,0
301,PIN-023,PINTURA DIGITAL 150ML TURQUESA PASTEL,29.7,26.2,24.7,0
302,PIN-024,PINTURA DIGITAL 150ML PLATA,28.4,25,23.6,0
303,PIN-025,PINTURA DIGITAL 150ML ORO,28.4,25,23.6,0
304,PIS-013,SILICON LIQUIDO PELIKAN FCO.DE 30ML,8.4,7.5,7,418
305,PIS-014,SILICON LIQUIDO PELIKAN FCO.DE 100ML,19.3,17.1,16.1,143
306,PIS-015,SILICON LIQUIDO PELIKAN FCO.DE 250ML,37.4,33,31.1,21
307,PIS-018,SILICON LIQUIDO PELIKAN FCO.DE 60 ML,13.3,11.8,11.1,148
308,PLA-001,PLASTILINA C/10 BARRAS COL. SURT.,13.2,11.7,11,97
309,PLA-002,PLASTILINA MARQUETA 180 G AM,9.4,8.3,7.9,109
310,PLA-003,PLASTILINA MARQUETA 180 G AZ CL,9.4,8.3,7.9,127
311,PLA-004,PLASTILINA MARQUETA 180 G AZ MARINO,9.4,8.3,7.9,128
312,PLA-005,PLASTILINA MARQUETA 180 G BCO,9.4,8.3,7.9,135
313,PLA-006,PLASTILINA MARQUETA 180 G CF,9.4,8.3,7.9,134
314,PLA-007,PLASTILINA MARQUETA 180 G GRIS,9.4,8.3,7.9,137
315,PLA-008,PLASTILINA MARQUETA 180 G NG,9.4,8.3,7.9,141
316,PLA-009,PLASTILINA MARQUETA 180 G NJ,9.4,8.3,7.9,97
317,PLA-010,PLASTILINA MARQUETA 180 G RJ,9.4,8.3,7.9,158
